#,Subjects,Start date,Close Date
25581, Quick invest page for sip,29-Oct-21,08-Nov-21
25579,Data is missing on Videos page for lumpsum,29-Oct-21,01-Nov-21
25577,Mf fund detail page for sell,29-Oct-21,02-Nov-21
25575,Heading is not displayed for swp,29-Oct-21,08-Nov-21
25569,UI for holding type on cart page for sell  ,29-Oct-21,30-Oct-21
25563,UI on cart page is aligned properly for sell ,29-Oct-21,30-Oct-21
25559,Tools - UI issue for stp,29-Oct-21,01-Nov-21
25555,UI is not proper in IPhone for sip,29-Oct-21,01-Nov-21
25544,Blackstrip menus are missing for sell,29-Oct-21,03-Nov-21
25542,Sub menus displayed on IPAD are different than sub menus displayed on chrome for stp,29-Oct-21,30-Oct-21
25538,Section is repeated on PMS page for orderbook,29-Oct-21,30-Oct-21
25526,ETF page UI for swp,28-Oct-21,29-Oct-21
25524,Index fund page error for swp,28-Oct-21,09-Nov-21
25519,Index fund error for lumpsum,28-Oct-21,
25510,Download section for lumpsum,28-Oct-21,30-Oct-21
25507,NAV and Dividend page UI for sip,28-Oct-21,01-Nov-21
25506,Fund detail page (Know more functionality),28-Oct-21,01-Nov-21
24967,Lumpsum cashflow page error ,13-Oct-21,20-Oct-21
24966,STP - UI issue,13-Oct-21,18-Oct-21
24919,Distributor details are not updated for sell ,12-Oct-21,14-Oct-21
24908,Quick invest UI issue,12-Oct-21,21-Oct-21
24814,Text colour - IPAD ,11-Oct-21,19-Oct-21
24812,Dashboard page - Ipad ,11-Oct-21,22-Oct-21
24803,No action is performed after clicking on send icon for sell ,11-Oct-21,03-Nov-21
24802,Newsletter accepts invalid email address for stp,11-Oct-21,18-Oct-21
24796,Sitemap issue for sip,11-Oct-21,22-Oct-21
24789,"Bank details - "" Name as on bank "" error for sip",11-Oct-21,14-Oct-21
24738,Minor name is not displayed on transaction pages for swp ,11-Oct-21,19-Oct-21
24724,SIP booster page redirection for stp,08-Oct-21,18-Oct-21
24716,UI for cashflow is different in MAC and Window's system for sell,08-Oct-21,18-Oct-21
24617,Menus displayed for Guest login are invalid for lumpsum,07-Oct-21,18-Oct-21
24534,Know more button  is not clickable for lumpsum,06-Oct-21,07-Oct-21
24532,Some functionality are not working for Mutual fund > home page ,06-Oct-21,14-Oct-21
24527,Quick invest redirection error ,06-Oct-21,11-Oct-21
24525,One time mandate redirection error for swp,06-Oct-21,14-Oct-21
24521,Account statement redirection is invalid for stp,06-Oct-21,18-Oct-21
24495,Index fund tab is not selected in header menu's when clicked on it for sell,06-Oct-21,14-Oct-21
24487,URL for login is invalid ,06-Oct-21,02-Nov-21
24460,URL for Regulatory updates is invalid ,06-Oct-21,20-Oct-21
24456,UI for tools page ,06-Oct-21,11-Oct-21
24452,Error on NAV page for sip,06-Oct-21,20-Oct-21
24447,FAQ page is only loading for stp,06-Oct-21,14-Oct-21
24445,"About us page displays ""404"" error message",06-Oct-21,14-Oct-21
24443,Downloads page is not loading for orderbook,06-Oct-21,21-Oct-21
24441,"Contact Us Page displays ""404"" error message for orderbook ",06-Oct-21,14-Oct-21
24439,Folio number not displayed correctly in orderbook,06-Oct-21,11-Oct-21
24416,All schemes are not displayed in sip,06-Oct-21,13-Oct-21
23630,UI for folio details page is not proper for swp ,15-Sep-21,11-Oct-21
23629,Folio number is getting blanked when changing scheme for stp ,15-Sep-21,18-Oct-21
23625,Getting  404 error after folio creation  for sip,15-Sep-21,11-Oct-21
23624,Invalid IFSC code is accepted for lumpsum,15-Sep-21,12-Oct-21
23609,Quick invest page > SIP ,15-Sep-21,11-Oct-21
23604,UI for search option is not proper on Quick invest page,15-Sep-21,11-Oct-21
23437,Redemption - Sell - bank option displayed twice ,08-Sep-21,11-Oct-21
23425,UI for purchase pages is not aligned properly for stp ,08-Sep-21,11-Oct-21
23283,Edit SIP - end date displayed for perpetual tenure is invalid ,03-Sep-21,11-Oct-21
23281,SIP Start date should not be saturday or sunday for weekly frequency ,03-Sep-21,11-Oct-21
23255,Reschedule icon appears for SIP even after the scheme is updated,02-Sep-21,11-Oct-21
23242,UI issues for IPAD (safari),01-Sep-21,11-Oct-21
23159,Not able to proceed with SWP transaction ,27-Aug-21,30-Aug-21
23157,Invested funds - Absolute returns and XIRR value should be displayed ,27-Aug-21,30-Oct-21
22973,UI is not proper for Schedule investment pages for tablet android ,20-Aug-21,20-Aug-21
22961,Invested funds should display option type in scheme name ,18-Aug-21,26-Aug-21
22960,UI for review and checkout page is not proper for stp,18-Aug-21,
22741,Schedule transaction - STP - pages goes blank ,13-Aug-21,30-Aug-21
22738,Basket invest menu is not displayed in UAT for sip,13-Aug-21,03-Sep-21
22728,Add mandate - not able to check checkbox for terms and conditions for sell ,13-Aug-21,15-Nov-21
22725,UI for Add mandate is not proper for sell,13-Aug-21,18-Aug-21
22714,Schedule transaction - SIP/ STP / SWP ,12-Aug-21,17-Aug-21
22708,Review and checkout page - Error message is displayed for fatca details for sell ,12-Aug-21,20-Aug-21
22695,Schedule SWP - Data is not displayed,12-Aug-21,18-Aug-21
22658,Schedule transaction - SWP - Page does not load when changing dates ,12-Aug-21,18-Aug-21
22652,Add bank - Bank details are getting added multiple times for stp ,12-Aug-21,21-Aug-21
22650,Schedule SIP - data displayed for upcoming installments is wrong ,12-Aug-21,18-Aug-21
22639,Data points do not change for pan number : BFAPB9481E,12-Aug-21,23-Aug-21
22622,Schedule SWP ,11-Aug-21,25-Aug-21
22617,Schedule transaction - SIP - Daily frequency is displayed ,11-Aug-21,
22613,Schedule transaction - SWP ,11-Aug-21,27-Aug-21
22610,"Schedule SWP - Completed transaction should not display ""Cancel SWP"" option ",11-Aug-21,25-Aug-21
22607,Schedule SWP ,11-Aug-21,20-Aug-21
22606,Schedule transaction - SWP,11-Aug-21,18-Aug-21
22600,Schedule SWP - Online / offline buttons are not working ,11-Aug-21,27-Aug-21
22598,Schedule SIP - Tenure displayed for weekly frequency is invalid ,11-Aug-21,18-Aug-21
22597,Schedule SIP - Tenure displayed for fortnightly frequency is invalid ,11-Aug-21,22-Oct-21
22594,Schedule SIP - for perpetual tenure end date should change in boost option ,11-Aug-21,20-Aug-21
22582,Schedule SIP - Completed Status ,11-Aug-21,25-Aug-21
22558,Schedule investment - SWP ,10-Aug-21,18-Aug-21
22536,Schedule Investment - SIP / STP/ SWP ,10-Aug-21,20-Aug-21
22466,Schedule investment - SIP / SWP ,10-Aug-21,25-Aug-21
22398,Scheme basket page - Calendar  not aligned properly,09-Aug-21,25-Aug-21
22370,Schedule investments - Not getting canceled ,07-Aug-21,27-Aug-21
22352,Login button - Text label should change after user has logged out ,07-Aug-21,18-Aug-21
22351,Schedule Investment - SIP ,07-Aug-21,18-Aug-21
22345,Distributor details is not getting updated - Review and checkout page ,07-Aug-21,09-Aug-21
22321,Account statement - Cost investment  / STP amount displayed is invalid ,07-Aug-21,18-Aug-21
22319,Order summary - Scheme name  should be displayed properly ,07-Aug-21,25-Aug-21
22296,Add Bank - IFSC code accepts only alphabets and only numbers ,06-Aug-21,07-Aug-21
22295,Bank summary page is not displayed for sip,06-Aug-21,07-Aug-21
22292,Not able to click on new funds tab for any transaction pages ,06-Aug-21,07-Aug-21
22237,Tenure displayed for schedule investment - Sip is not valid for Cancel and Pause SIP,06-Aug-21,18-Aug-21
22211,Schedule investment - SIP - Status column should be displayed ,05-Aug-21,18-Aug-21
22209,Schedule investment - SIP - Upcoming installments ,05-Aug-21,27-Aug-21
22172,Number of installments do not match with API ,05-Aug-21,18-Aug-21
22162,Schedule investment - SIP - Schemes are not getting boosted ,05-Aug-21,20-Aug-21
22074,Switch - error message should be displayed to maintain minimum balance of  500 units ,04-Aug-21,09-Aug-21
22035,OTP is not received for MF Beta ,04-Aug-21,09-Aug-21
21587,More than 8 schemes are allowed to transact on review and checkout page,29-Jul-21,03-Aug-21
21580,Review and checkout page for SIP,29-Jul-21,
21486,"Pop up window for edit , does not display option type and plan for scheme name for stp ",28-Jul-21,23-Aug-21
21484,New funds - NAV values and percentage invalid for stp,28-Jul-21,25-Aug-21
21469,Order summary does not display option type and plan for scheme name for sell  ,27-Jul-21,06-Aug-21
21360,Holder name displayed on login page is invalid ,27-Jul-21,18-Aug-21
20910,"on Add Bank, Add Mandate holding type and holder name not display.",22-Jul-21,09-Sep-21
20880,SIP schemes are not displayed in cart after coming from net banking pages,20-Jul-21,26-Jul-21
20878,Compare funds - Basket investment - Post login ,20-Jul-21,26-Jul-21
20833,Folio number selected in SIP transaction is not displayed in cart,20-Jul-21,12-Aug-21
